,time,lat,lon,depth,Station,Cast,RosPos,CTD_Temperature,CTD_Salinity,CTD_Oxygen,CTD_Chloropigment,Potential_Temperature,Potential_Density,Bottle_Oxygen,PO4,SiO4,Psi,Chlorophyll,Pheopigment
0,2019-04-10T06:56:11,21.342,-158.273,11.6,1,1,1,25.142,34.496,211.6,0.8492,25.139,22.9198,210.3,,,,,
1,2019-04-10T06:56:17,21.342,-158.273,12.0,1,1,2,25.138,34.496,211.6,0.8491,25.135,22.9211,,,,,,
2,2019-04-10T06:56:22,21.342,-158.273,11.3,1,1,3,25.143,34.497,211.6,0.8491,25.141,22.9203,,,,,,
3,2019-04-10T06:56:26,21.342,-158.273,11.9,1,1,4,25.14,34.496,211.6,0.8494,25.137,22.9205,,,,,,
4,2019-04-10T06:56:29,21.342,-158.273,11.5,1,1,5,25.142,34.496,211.6,0.8491,25.139,22.9198,,,,,,
5,2019-04-10T06:56:33,21.342,-158.273,11.5,1,1,6,25.142,34.496,211.6,0.8492,25.139,22.9198,,,,,,
6,2019-04-10T06:56:38,21.342,-158.273,12.0,1,1,7,25.139,34.496,211.6,0.8492,25.136,22.9208,,,,,,
7,2019-04-10T06:56:41,21.342,-158.273,11.3,1,1,8,25.143,34.497,211.6,0.8490000000000001,25.141,22.9203,,,,,,
8,2019-04-10T06:56:45,21.342,-158.273,11.6,1,1,9,25.141,34.496,211.6,0.8492,25.138,22.9201,,,,,,
9,2019-04-10T06:56:49,21.342,-158.273,11.7,1,1,10,25.141,34.496,211.6,0.8493,25.138,22.9201,,,,,,
10,2019-04-10T06:56:53,21.342,-158.273,11.6,1,1,11,25.141,34.496,211.6,0.8492,25.138,22.9201,,,,,,
11,2019-04-10T06:56:57,21.342,-158.273,11.6,1,1,12,25.141,34.496,211.6,0.8492,25.138,22.9201,,,,,,
12,2019-04-10T06:57:00,21.342,-158.273,11.2,1,1,13,25.144,34.497,211.6,0.8490000000000001,25.142,22.92,,,,,,
13,2019-04-10T06:57:04,21.342,-158.273,12.1,1,1,14,25.137,34.496,211.6,0.8488,25.134,22.9214,,,,,,
14,2019-04-10T06:57:08,21.342,-158.273,11.3,1,1,15,25.143,34.497,211.6,0.8491,25.141,22.9203,,,,,,
15,2019-04-10T06:57:12,21.342,-158.273,11.7,1,1,16,25.141,34.496,211.6,0.8493,25.138,22.9201,,,,,,
16,2019-04-10T06:57:17,21.342,-158.273,11.5,1,1,17,25.142,34.496,211.6,0.8491,25.139,22.9198,,,,,,
17,2019-04-10T06:57:21,21.342,-158.273,11.9,1,1,18,25.14,34.496,211.6,0.8494,25.137,22.9205,,,,,,
18,2019-04-10T06:57:25,21.342,-158.273,11.3,1,1,19,25.143,34.497,211.6,0.8490000000000001,25.141,22.9203,,,,,,
19,2019-04-10T06:57:29,21.342,-158.273,11.8,1,1,20,25.14,34.496,211.6,0.8493,25.137,22.9205,,,,,,
20,2019-04-10T06:57:48,21.342,-158.273,12.0,1,1,21,25.139,34.496,211.6,0.8492,25.136,22.9208,,,,,,
21,2019-04-10T06:57:53,21.342,-158.273,11.2,1,1,22,25.143,34.497,211.6,0.8490000000000001,25.141,22.9203,,,,,,
